"","SRR1275356","SRR1274090","SRR1275251","SRR1275287","SRR1275364","SRR1275269","SRR1275263","SRR1275242","SRR1275338","SRR1274117","SRR1274089","SRR1275248","SRR1275345","SRR1274125","SRR1275270","SRR1275300","SRR1275294","SRR1274122","SRR1275299","SRR1275277","SRR1275370","SRR1275293","SRR1274128","SRR1275348","SRR1275245","SRR1274084","SRR1275335","SRR1275342","SRR1275363","SRR1275280","SRR1275264","SRR1275369","SRR1274131","SRR1275351","SRR1275256","SRR1275252","SRR1275355","SRR1275258","SRR1275260","SRR1275367","SRR1275284","SRR1275346","SRR1274114","SRR1275241","SRR1275279","SRR1275297","SRR1275273","SRR1274126","SRR1275290","SRR1275274","SRR1274121","SRR1275341","SRR1275336","SRR1274119","SRR1274087","SRR1274113","SRR1275246","SRR1274132","SRR1275267","SRR1275289","SRR1275283","SRR1275360","SRR1275255","SRR1275358","SRR1275352","SRR1274130","SRR1275265","SRR1275368","SRR1275281","SRR1275362","SRR1275257","SRR1275350","SRR1274129","SRR1275292","SRR1275371","SRR1275298","SRR1275276","SRR1274123","SRR1275343","SRR1275334","SRR1274085","SRR1274111","SRR1275349","SRR1275244","SRR1275249","SRR1275344","SRR1274088","SRR1274116","SRR1275243","SRR1275339","SRR1275301","SRR1275295","SRR1275271","SRR1274124","SRR1275250","SRR1275357","SRR1275262","SRR1275365","SRR1275286","SRR1275268","SRR1275361","SRR1275282","SRR1275266","SRR1275288","SRR1274133","SRR1275353","SRR1275254","SRR1275359","SRR1274120","SRR1275275","SRR1275291","SRR1275247","SRR1274086","SRR1274112","SRR1274118","SRR1275337","SRR1275340","SRR1274115","SRR1275347","SRR1274127","SRR1275272","SRR1275278","SRR1275302","SRR1275296","SRR1275354","SRR1275259","SRR1275253","SRR1275285","SRR1275366","SRR1275261"
"MTCH2",2,44,0,15,0,0,125,0,0,129,2357,0,1,80,0,30,0,1,726,3,0,2,0,0,0,36,0,0,1,3,5,0,1,0,65,0,0,0,0,0,2,2,0,6,235,996,2141,1,21,50,106,1,1,0,477,4,0,0,5,826,54,0,2200,3,3,0,346,3,1172,90,0,11,1,0,0,30,0,1,0,0,14,2,0,19,0,3,13,11,413,0,3,1109,213,0,0,0,0,0,0,0,0,32,59,0,1510,0,0,0,1,2,4,0,0,0,3,0,46,499,0,5,5,0,0,33,3,0,0,32,0,1
"MTCL1",0,0,0,0,0,302,2,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,25,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1021,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,208,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,119,0
"MTDH",2,10,1,1991,25,63,2,22,0,353,418,1,0,190,1,22,0,14,648,133,0,5,1,19,8430,14,2,6,0,1,0,16,216,46,0,0,0,0,0,0,4,1,0,346,2,1,3756,3,1,118,641,18,86,36,0,3,348,4,0,10,220,2,2,10,13,0,12,497,490,5,5,1711,1,13,0,0,0,1,0,52,1124,949,3,7,34,0,0,0,129,0,2,152,0,0,1,1,0,1,0,0,0,3,3,49,819,0,117,0,0,0,471,39,18,22,4,2,731,0,0,40,0,2,0,3,0,0,2681,11,0,2
"MTERF1",0,0,0,0,0,0,351,0,0,0,0,0,0,14,0,0,0,0,0,0,5933,0,0,0,0,2,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1725,1,0,44,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,183,0,0,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0
"MTERF2",0,34,0,174,0,0,0,22,0,0,2225,0,0,137,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,463,0,0,0,0,0,0,285,0,0,79,1027,23,0,0,0,0,0,0,2,0,0,13,0,0,0,0,2,0,486,0,0,0,0,0,0,0,0,758,0,0,667,0,15,0,0,0,0,3,52,0,47,0,0,0,0,0,0,0,0,4,0,0,119,0,0,0,0,0,0,12,0,0,0,2,0,0,1,0,0,0,0,0,3124,0,0,2
"MTERF3",0,3,0,4,0,0,0,0,0,2,249,0,0,20,0,23,0,0,810,42,0,0,22,0,0,1,0,0,0,0,0,0,55,1,0,0,0,0,0,0,0,0,0,0,1,1,12,1,0,1,4,0,0,1,0,1,0,0,0,3,0,0,0,2464,0,0,0,0,1,0,0,11,0,0,0,0,4,2,0,0,724,74,0,0,0,1,0,0,0,0,1,1,7,0,0,0,0,0,3,0,0,0,0,0,32,0,0,81,1,100,0,0,13,1,0,0,0,6,0,1224,0,2,0,0,1,0,0,55,0,0
"MTERF4",0,0,0,0,506,0,0,0,0,0,0,0,0,1,0,0,21,0,0,0,0,1225,0,0,0,0,0,0,0,0,0,0,101,0,0,0,0,80,0,0,3,0,0,0,1,0,1,0,0,0,3,0,1,500,0,20,0,2,0,0,128,0,0,0,0,0,101,0,203,4,1555,0,0,0,0,0,0,50,0,0,1,715,0,0,0,1,0,0,0,0,1,0,1775,0,0,0,0,9,0,0,0,7,19,0,0,0,0,0,11,0,0,2,0,14,0,0,0,0,0,0,46,0,0,0,0,1,0,5,0,0
"MTF1",0,0,2,2,1786,217,14,0,0,0,1,0,0,0,11,0,0,0,0,7,0,2,0,9,0,0,0,0,0,0,0,0,5,0,144,0,0,136,0,0,0,7,0,0,0,0,6,0,0,0,7,0,2,0,0,0,0,0,3,0,4,2,2604,5,19,0,0,4,0,0,2923,3,3,3,1,0,0,1,0,5,4,472,1,0,28,0,0,0,5,0,0,4,2,0,0,0,0,77,0,0,0,0,0,0,0,1,0,0,0,5,58,0,0,17,0,0,0,1,0,2,0,0,0,0,0,0,0,9,1,3
"MTF2",1,4,0,0,0,0,0,0,0,1221,253,6,4,1085,0,81,47,0,2874,156,1,1706,37,489,1983,9,0,0,4,9,0,0,49,11,0,0,0,0,0,22,0,0,21,0,230,757,340,22,0,10,19,123,0,4064,265,1554,83,0,87,0,6,0,0,0,2968,4,152,1,141,130,0,476,320,2,0,14,5,3309,0,0,1821,438,22,3,0,104,4,68,65,0,0,0,0,55,0,0,22,0,5,4,0,3,36,0,506,69,0,0,73,171,116,134,22,8,29,0,3784,3587,0,2645,0,3,0,0,2,0,0,92,589,295
"MTFMT",1,0,0,4,0,0,0,0,0,0,10,1,0,6,0,0,0,0,0,21,0,0,0,1,13,0,2,102,0,1,1,0,2,0,0,0,0,0,0,0,1,74,0,0,21,0,11,0,0,1,24,3,0,0,11,41,0,0,0,0,84,16,0,1,0,2,0,0,21,0,0,0,26,0,0,0,3,172,2,9,98,85,0,0,0,0,0,11,0,0,0,1754,24,0,0,1,15,0,0,0,1,2,0,0,2,0,0,0,1,301,0,79,0,3,1,0,218,937,4,0,0,1,0,42,0,1,0,0,1,168
"MTFP1",0,0,282,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,27,23,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,82,0,0,0,178,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MTFR1",0,1,0,219,1,57,0,0,0,2,6,0,0,1,3,0,0,2,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59,0,58,0,0,0,0,0,0,0,0,0,0,0,808,0,0,0,19,0,0,1116,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,359,0,0,0,0,0,0,7,0,0,1,0,1,12,25,0,0,0,32,0,0,0,0,0,8,0,0,0,0,0,0,0,4,0,0,0,180,0,0
"MTFR1L",0,0,1711,386,0,1,0,0,2,0,0,0,1,294,0,0,41,9,0,529,0,1831,0,0,0,0,0,41,0,0,0,0,0,0,0,93,0,0,223,67,7,0,2,0,0,0,1,10,0,0,305,0,36,0,11,138,0,0,0,1,431,0,0,0,0,0,0,4,0,0,0,0,0,14,0,0,0,1,0,0,0,0,0,1,0,5,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,337,0,0,0,0,4,0,0,0,0,0,13,0,0,0,2646,0,0,2264,0
"MTFR2",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,1,0,0,3,1,0,12,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,160,0,0,0,12,0,0,0,0,0,0,0,0,0,0,4,0,0,1,0,0,2,209,0,0,0,0,0,0,0,30,1,0,0,0,2,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,420,0,0,0,0,0,0,0,1,0,0,0,0,223,0,88,0,0,0,0,1,353,0,0,0,0
"MTG1",0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,1,2,215,0,0,2,0,0,0,0,0,0,0,0,0,3,0,2,0,0,0,0,0,0,600,0,0,0,78,0,1,0,0,68,0,0,98,195,0,0,0,1862,0,6,1431,13,0,993,0,0,2,69,0,4,0,1,3,0,3,0,0,0,0,279,0,0,0,0,0,6,0,0,0,0,376,0,0,0,0,0,0,0,87,43,2,0,0,0,29,0,0,0,13,107,5,14,0,0,0,0,0,19,170,0,5,0,6,0,0,0,0,0,0
"MTG2",0,0,0,0,0,618,0,0,0,0,0,0,0,217,25,0,0,0,0,0,0,0,0,270,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,1,0,52,0,1,0,0,3,0,0,0,0,0,0,1,0,37,0,6,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,1,0
"MTHFD1",20,2,0,279,23,0,268,3,802,304,500,0,0,1,0,0,0,0,0,0,0,0,25,0,1,2,0,77,0,1,14,0,2,0,320,0,0,0,0,0,12,0,2,25,7,0,10,0,0,0,2,0,0,9,0,103,0,0,0,0,464,0,6770,701,929,0,0,0,1,0,0,1,1,9,0,0,2,1,3,0,573,765,0,0,0,0,0,0,1,42,0,0,272,0,0,1,0,0,7,0,0,0,0,7,48,28,0,17,0,88,375,0,7,8,3,0,0,125,0,1514,6,0,0,0,0,0,2,114,0,1
"MTHFD1L",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,115,0,0,0,0,0,0,0,0,0,56,0,0,0,0,0,0,582,1,0,0,0,0,0,0,0,0,1,0,0,840,0,2,0,0,0,0,0,1,0,25,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"MTHFD2",0,0,0,0,0,0,44,0,0,727,12,0,0,621,0,0,0,0,3,874,0,1,0,602,0,1,0,0,0,1,2,0,1,24,0,0,2,0,0,0,9,1,0,0,148,1,2,5,0,0,54,0,1,0,419,1,0,0,1,2,373,0,0,1,1,0,0,1,4,0,0,823,0,11,0,0,0,0,0,0,1,208,22,0,0,1,6,3,0,0,1,1,1076,0,0,0,68,0,0,0,0,0,0,0,4,0,0,0,0,1,399,0,0,1,14,0,0,282,0,3,30,25,0,0,78,0,0,2,0,1287
"MTHFD2L",0,0,0,2,0,0,0,0,4149,46,1,2,0,0,0,6,0,0,211,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,7,0,0,1,45,76,0,0,0,0,0,0,569,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,2,0,0,168,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
"MTHFR",0,0,0,0,0,0,0,0,0,1,2,0,46,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,16,0,0,0,0,0,0,0,0,0,0,0,42,4,32,0,9,1,0,13,0,0,0,0,0,0,0,401,0,0,0,501,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,84,341,0,0,59,1014,0,2,0,0,46,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,9,1,0,0,0,3,8,0,0,208,53,0,0,0,0,3,0,1,0,0,0,0,0
"MTIF2",0,3,0,2,0,22,0,0,3,45,189,0,0,40,0,4,0,0,113,0,0,0,0,2590,0,5,0,0,0,0,0,0,329,163,0,0,0,0,0,0,0,0,7,0,0,0,1135,0,0,26,0,0,0,0,600,553,0,1,0,0,0,0,0,0,0,3,354,0,45,0,0,5121,73,0,0,0,0,0,0,0,1,0,170,0,0,0,9,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,64,0,266,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MTIF3",2,0,0,375,0,0,0,0,395,307,14,0,0,621,0,0,0,0,0,0,0,0,3,0,542,4,0,3448,0,0,0,0,23,0,0,0,0,8,0,0,4,0,0,0,0,874,0,18,0,0,0,0,0,0,13,0,22,0,431,8,266,0,6,0,0,0,62,0,171,0,174,0,1,0,0,33,11,45,102,0,4,253,0,1,0,1,1,0,51,22,273,1,423,1,0,0,0,0,11,13,0,2,12,10,272,0,0,0,0,396,0,23,0,4,10,0,0,0,0,29,12,0,15,0,0,0,0,334,0,9
"MTM1",0,0,0,0,0,0,307,0,0,0,0,0,0,19,0,0,5,0,0,0,0,268,0,56,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,87,3,0,0,1,0,0,0,0,185,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0
"MTMR1",129,1,0,0,0,0,0,0,0,21,2,0,0,0,0,0,0,0,0,49,0,0,0,0,13,0,0,7,0,3,0,1,2,0,0,0,0,0,0,0,7,0,0,6,61,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,241,0,0,0,1,0,0,0,284,0,0,5,3,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"MTMR11",0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,110,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1607,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,39,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,2
"MTMR12",1,0,0,0,0,20,0,0,0,6,1,2,0,0,1,1,11,0,9,0,0,493,1,0,586,0,0,0,0,14,0,0,0,41,0,0,0,17,0,0,9,0,0,0,663,1,311,0,33,7,0,0,0,0,0,0,16,0,147,1095,543,0,0,1290,0,0,0,0,227,0,385,1732,0,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,8,1,0,5,0,0,12,0,0,27,0,330,26,17,1,0,0,0,0,105,0,13,0,0,0,0,0,0,0,309,0,0
"MTMR14",0,0,3,0,0,0,0,8,0,0,0,0,0,342,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,54,0,0,0,9,0,0,0,0,4727,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,270,0,0,0,0,0,0,6,0,0,0,0,0,0,0
"MTMR2",0,0,0,1,0,86,2,0,0,280,0,0,6,423,7,0,36,0,1,0,0,2110,0,13,0,2,0,0,0,0,0,0,20,0,0,0,0,0,0,0,1,0,2,14,0,0,43,3,0,2,0,159,240,799,770,10,0,1,0,0,61,0,1,0,0,0,0,10,1591,0,0,0,0,0,0,0,0,0,0,0,48,385,0,0,0,123,16,37,0,0,1185,2050,0,0,0,0,151,0,0,0,0,26,0,0,119,0,0,0,18,1,0,0,1,9,6,6,4670,2216,0,2,0,0,90,51,0,1,0,0,0,2983
"MTMR3",5,0,0,10,0,0,5,0,0,0,0,0,0,0,0,2,2,0,71,4,0,16,0,0,0,0,1,0,0,7,0,0,0,0,0,0,15,145,0,0,1,1,0,0,201,1,4,0,0,0,0,11,3,0,1,0,0,0,2,85,12,0,7,1,0,0,0,0,1,0,3072,0,0,0,0,0,0,0,0,13,0,1,0,0,3,1,0,0,0,0,1,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,3,0,0,0,0,217,0,0,0,0,0,2,0,763,0,0,0,0,0
"MTMR4",0,1,0,0,0,0,0,0,0,0,98,7,0,0,0,0,1,32,0,28,2,54,14,0,0,7,0,0,0,0,0,6,4,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1093,0,25,8,6,1,0,0,1597,2,2,5,0,79,0,2,0,0,427,0,3,1,266,8,0,0,0,6,0,2,170,1,0,11,0,0,0,0,203,0,598,375,0,0,0,0,0,0,0,78,0,16,0,0,185,0,3,1,0,0,224,149,0,0,0,1,0,38,0,831,0,2,35,8,0,0,25,1,0,0
"MTMR6",0,1,0,2414,59,0,0,0,0,0,16,15,78,15,0,0,0,0,0,168,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,39,1392,0,1,1,0,0,0,0,0,0,0,0,0,0,12,0,0,0,1,0,0,0,0,0,0,0,0,0,23,0,48,0,0,0,0,17,0,0,0,0,2894,0,0,0,0,404,15,2116,0,0,0,0,3,0,0,0,0,0,56,0,0,0,0,0,0,1067,193,1,0,0,0,0,0,0,46,49,3,22,2,0,0,0,2,0,0
"MTMR7",0,0,0,1,0,1,0,0,0,0,0,0,0,485,0,15,0,0,502,0,0,0,0,0,69,0,0,0,0,1,0,0,0,0,107,0,0,0,0,0,0,0,0,0,39,15,7,5,11,0,54,0,0,0,0,0,2,0,576,693,139,0,2873,0,0,0,81,0,0,0,2,0,0,0,0,0,0,0,0,0,9,0,0,0,133,0,0,0,0,0,0,0,1,0,9,0,0,0,0,40,0,0,13,0,0,0,0,0,0,51,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1,0,0
"MTMR9",1798,0,1145,1,0,1,2,0,1,0,0,1,0,0,0,0,0,4,1,0,4,13,0,2,1,0,0,336,0,0,0,0,1,0,0,43,0,3,1,5,8,1,0,0,3,0,4,0,0,0,135,0,0,435,3552,0,0,0,39,10,346,0,1,0,2,0,0,0,61,1,61,0,4,6,0,0,13,5,11,0,7,0,0,1,0,1,58,1,1,0,1667,1,14,0,0,67,3,0,19,0,0,1,0,1,3,0,4,0,14,724,300,60,0,0,0,0,0,10,0,0,0,0,90,1,3,5,68,603,87,38
"MTO1",0,0,0,0,0,1,1158,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67,0,0,0,0,0,24,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,20,0,0,0,0,0,1,0,0,0,90,0,0,0,0,1,0,3,0,0,0,181,2057,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,0,0,1,0,0,0,0,146,0,0,61,0,0,5,657,0,0,1,0,0
"MTOR",2,4,0,0,0,0,0,0,0,2,301,0,63,5,0,0,0,0,7,143,0,0,0,0,24,0,0,11,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,292,0,9,0,45,5,0,2,194,0,0,0,0,0,76,1,0,0,0,0,0,0,0,0,0,11,12,1790,0,0,325,0,0,0,2,0,0,0,0,0,1,23,0,0,31,0,0,0,0,0,0,0,15,0,0,0,0,0,0,1,0,33,0,4,0,0,0,0,0,20,0,0
"MTPAP",0,1,60,3821,0,3564,1,13,763,1739,46,96,2,1863,137,23,0,1,1298,733,1,1,0,18,3669,26,0,0,5,13,0,3,59,0,0,2,0,20,436,2,8,1465,1,400,534,8,1,32,0,0,5,0,0,30,32,35,146,1,2724,2,263,2,2,4,3864,17,314,92,1273,75,572,2,1270,0,0,0,0,5,0,0,380,21,0,36,0,93,1,12,1163,31,4045,4398,2824,0,0,0,427,0,11,111,0,34,47,92,1465,96,0,0,1,1,5,2122,7,1,28,0,0,464,34,1,77,19,219,107,2,6448,0,798,29,9708
"MTR",1,34,0,0,0,8,6196,0,0,155,1635,2,0,458,0,0,0,2,0,0,0,0,0,31,0,1,0,0,14,0,293,0,36,0,0,0,0,0,0,0,12,0,0,0,0,1620,0,8,0,0,298,0,3,4,4,0,0,2,0,0,447,0,0,3324,0,5,12,6,0,313,0,1,176,0,0,42,2,2,0,0,1,0,0,33,0,0,0,22,788,0,0,0,940,0,0,0,0,0,0,0,0,0,1,0,47,0,0,68,1,103,13,58,1,0,0,0,0,832,0,0,30,0,0,0,0,0,4,1,0,0
"MTRF1",0,0,0,0,5517,0,0,0,0,534,17,0,1,2,0,0,0,0,0,90,0,0,0,0,0,0,0,0,0,0,0,0,212,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,3,0,0,17,0,0,0,0,0,0,0,128,0,0,0,0,0,0,0,0,0,0,0,377,732,0,3,0,101,0,0,51,0,0,0,0,0,0,0,0,208,0,0,0,6,0,0,0,0,0,0,0,42,0,0,8,16,8,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
"MTRF1L",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,44,0,0,1403,0,0,0,0,0,0,0,0,0,28,0,0,0,11,0,0,0,0,0,0,0,7,0,9,0,1,1,1562,0,0,39,0,62,0,3,260,449,0,0,0,2,139,0,0,0,1,0,0,0,0,1255,0,1,101,0,0,0,0,0,0,0,799,17,0,0,0,0,1,0,34,0,26,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1314,611,0,0,0,0,8,0,0,0,0,108,0,0
"MTRR",0,3,0,0,0,0,0,0,0,0,67,0,0,252,0,1,0,0,40,31,0,0,0,0,0,0,0,13,79,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,1590,2,4,44,0,0,0,0,0,0,0,0,0,228,198,0,0,1,2,0,0,0,54,2595,0,0,1,0,0,0,0,2,0,0,0,0,0,58,0,0,0,0,1568,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,5,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0
"MTSS1",1939,0,345,3454,62,5,4981,0,0,0,0,2,0,0,0,20,9,0,647,1991,309,516,0,3,367,0,133,44,29,33,192,5,34,0,0,18,0,9,6,52,11,0,0,30,1701,276,73,0,6,2,0,2,6,0,4,0,17,0,3477,274,499,1,0,1,1,17,2,235,1249,1429,200,2,944,36,5,6,7,0,1,3065,0,8,2,0,4,0,0,0,0,0,31,3193,1690,0,1,124,0,0,9,144,1,32,0,79,0,0,57,0,0,728,1338,31,0,0,0,0,23,2,0,0,41,40,4,78,0,66,1337,467,1270,1
"MTSS1L",0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62,0,0,0,1,1,0,0,0,18,0,0,0,0,18,0,1,19,0,0,0,1,0,0,0,0,0,0,1,0,0,0,3,0,24,0,1,0,0,0,0,12,1,0,0,0,0,0,0,0,0,2,0,0,1,0,1,0,0,0,0,18,0,195,8,0,0,0,0,6,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,9,0,402,0,0,0,0,134
"MTTP",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,9,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,429,0,414,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,171,0,0,0,0,0,197,0,0,0,0,0,0,263,0,0,0,0,0,0,0,0,0,0,0,0
"MTURN",0,0,1,0,0,0,0,0,0,104,0,7,0,0,0,0,0,0,0,0,0,0,0,0,3371,0,0,6412,0,5,0,0,0,0,8,0,0,0,0,0,6,0,0,0,256,0,982,0,0,28,0,63,0,0,0,0,146,0,1,24,321,2,245,0,1381,0,68,0,23,0,19,0,0,0,0,0,0,0,205,0,0,0,0,0,832,0,0,0,0,0,0,2,0,0,34,0,0,0,0,0,0,0,5,0,0,38,0,0,0,0,0,221,0,0,3,0,2203,104,0,0,0,0,0,0,0,0,1,0,0,0
"MTUS1",0,0,0,344,0,2458,1,0,0,0,0,3,0,37,93,0,0,0,0,0,0,0,0,520,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,73,0,0,1,0,0,0,1,0,0,0,2537,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1660,0,18,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,1,0,97,40,0,0,0,31,0,0,1,0,0,0,0,0,0,0,0,0,0
"MTX1",0,0,0,0,0,161,0,0,0,10,0,0,0,0,7,0,0,0,5,0,0,0,0,132,0,0,0,0,0,0,0,2,42,0,0,0,0,0,0,4,0,226,0,3,0,0,0,0,0,0,0,0,0,0,0,2,0,0,13,0,25,0,0,131,0,2,0,43,0,0,1,0,51,0,0,0,3,0,0,0,12,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,21,0,0,2,0,121,0,1,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,173,0
"MTX2",0,5,0,0,0,0,0,0,0,0,159,0,0,151,0,0,0,0,0,5,0,0,0,1,0,8,3,6861,0,0,0,0,0,22,0,0,0,0,0,0,1,1755,3,0,0,0,0,3,0,0,77,0,0,180,0,102,0,0,0,0,93,0,0,0,0,1,7,58,0,0,0,891,51,8,0,0,0,0,230,23,0,1,0,0,0,0,0,2,0,0,0,475,0,0,0,0,0,0,0,0,0,0,0,0,528,0,0,0,3,0,233,0,0,0,0,0,0,65,34,35,0,0,0,7,0,0,0,0,0,0
